from,to,ties,sender,receiver
223,344,7,mathprofcarrie,thewordninja_bk
223,345,1,mathprofcarrie,timchartier
223,362,3,mathprofcarrie,vanessaarceliaa
223,366,12,mathprofcarrie,VictorPiercey1
223,368,2,mathprofcarrie,virtualcourtney
223,370,15,mathprofcarrie,WanderingPoint
223,379,12,mathprofcarrie,xl772
223,382,1,mathprofcarrie,YouTube
224,70,2,MathTeacherJH,ClaudioJacobo
224,223,1,MathTeacherJH,mathprofcarrie
224,292,2,MathTeacherJH,RG1gal
225,370,2,mathvsoldage,WanderingPoint
226,168,2,Mathy_Jessica,JointMath
226,170,2,Mathy_Jessica,joshlaison
226,282,2,Mathy_Jessica,qsideinstitute
226,316,4,Mathy_Jessica,sbagley
227,86,2,mathyadriana,diazlopezmath
227,100,2,mathyadriana,dtkung
227,196,6,mathyadriana,LoboWithACause
227,223,3,mathyadriana,mathprofcarrie
227,227,4,mathyadriana,mathyadriana
227,279,7,mathyadriana,pwr2dppl
227,287,1,mathyadriana,RachelleDeCoste
227,292,2,mathyadriana,RG1gal
227,323,2,mathyadriana,siwelwerd
227,344,1,mathyadriana,thewordninja_bk
227,370,3,mathyadriana,WanderingPoint
227,379,1,mathyadriana,xl772
228,20,2,mathyawp,AliciaPL25
228,120,1,mathyawp,FedericoArdila
229,370,2,mathzorro,WanderingPoint
230,292,2,matienda,RG1gal
231,97,2,MattBoelkins,DrMRLD
231,168,1,MattBoelkins,JointMath
231,292,2,MattBoelkins,RG1gal
231,316,2,MattBoelkins,sbagley
231,344,2,MattBoelkins,thewordninja_bk
231,370,2,MattBoelkins,WanderingPoint
232,105,1,matthematician,ElieNYC
232,200,1,matthematician,lpachter
232,232,1,matthematician,matthematician
232,323,2,matthematician,siwelwerd
232,366,2,matthematician,VictorPiercey1
232,370,4,matthematician,WanderingPoint
233,370,1,matthewando,WanderingPoint
235,46,2,MBarany,benjamindickman
235,100,1,MBarany,dtkung
235,124,2,MBarany,fra_berni
235,164,1,MBarany,jmm2021
235,196,2,MBarany,LoboWithACause
235,208,2,MBarany,MarissaKawehi
235,223,2,MBarany,mathprofcarrie
235,227,2,MBarany,mathyadriana
235,244,2,MBarany,monsoon0
235,279,2,MBarany,pwr2dppl
235,292,2,MBarany,RG1gal
235,370,4,MBarany,WanderingPoint
236,223,2,MerGreer,mathprofcarrie
237,370,2,Methemedantics,WanderingPoint
238,97,2,Miles_Ott,DrMRLD
239,126,2,MiraWaddle,frontLahn
240,211,1,MitchKeller,maryepilgrim
240,316,2,MitchKeller,sbagley
241,100,2,mmcdermo,dtkung
241,279,2,mmcdermo,pwr2dppl
241,370,2,mmcdermo,WanderingPoint
242,292,2,mnemognose,RG1gal
243,20,2,Moni_deni,AliciaPL25
243,100,2,Moni_deni,dtkung
243,120,1,Moni_deni,FedericoArdila
243,126,2,Moni_deni,frontLahn
243,134,2,Moni_deni,GoodsiePhD
243,201,1,Moni_deni,maanow
243,336,2,Moni_deni,swirlgirl31415
243,370,2,Moni_deni,WanderingPoint
244,87,1,monsoon0,DingleTeach
244,130,5,monsoon0,gitanjalivi
244,168,3,monsoon0,JointMath
244,196,6,monsoon0,LoboWithACause
244,223,3,monsoon0,mathprofcarrie
244,244,3,monsoon0,monsoon0
244,279,3,monsoon0,pwr2dppl
244,370,2,monsoon0,WanderingPoint
246,322,2,morvjn,sister_stem
247,223,2,mostnerdy,mathprofcarrie
248,220,2,MrFink314,mathillustrated
248,345,1,MrFink314,timchartier
249,370,2,MrLeiss,WanderingPoint
250,164,1,mrweathers,jmm2021
250,223,2,mrweathers,mathprofcarrie
251,292,2,MsFnstlua,RG1gal
252,70,2,mZargham,ClaudioJacobo
252,223,1,mZargham,mathprofcarrie
253,244,2,NalinPithwa,monsoon0
255,279,2,NanehApkarian,pwr2dppl
256,164,1,nchipps,jmm2021
256,223,2,nchipps,mathprofcarrie
258,29,1,NeedhiBhalla,ArisWinger
258,201,1,NeedhiBhalla,maanow
258,366,2,NeedhiBhalla,VictorPiercey1
260,292,2,NepantlaTC,RG1gal
261,223,2,NewBayes,mathprofcarrie
263,223,2,noellebeckman,mathprofcarrie
264,208,2,notnotneil,MarissaKawehi
266,124,2,numberdance,fra_berni
266,145,1,numberdance,HZinnbrooks
266,208,2,numberdance,MarissaKawehi
266,214,2,numberdance,mathcourtney
266,316,2,numberdance,sbagley
266,370,2,numberdance,WanderingPoint
267,142,2,nwrmbing,holom0rph
267,335,1,nwrmbing,SwipeWright
268,244,2,ONUMathStat,monsoon0
269,164,1,OSUSocStEd,jmm2021
269,223,2,OSUSocStEd,mathprofcarrie
270,168,1,paaiiigeee,JointMath
270,282,2,paaiiigeee,qsideinstitute
272,184,1,PatternAvoider,kenandoesmath
272,279,1,PatternAvoider,pwr2dppl
272,366,2,PatternAvoider,VictorPiercey1
273,100,2,paultpearson,dtkung
273,164,1,paultpearson,jmm2021
273,223,2,paultpearson,mathprofcarrie
274,168,1,PhilChodrow,JointMath
274,282,2,PhilChodrow,qsideinstitute
275,292,2,PoonehSabouri,RG1gal
276,50,2,priyam886,blkmathmagic
276,101,1,priyam886,duanecoop
276,111,1,priyam886,ErikaTCamacho
276,120,3,priyam886,FedericoArdila
276,137,1,priyam886,HaydeeLindo
276,168,1,priyam886,JointMath
276,196,1,priyam886,LoboWithACause
276,208,1,priyam886,MarissaKawehi
276,223,1,priyam886,mathprofcarrie
276,234,2,priyam886,mayli
276,276,1,priyam886,priyam886
276,279,4,priyam886,pwr2dppl
276,379,1,priyam886,xl772
277,168,1,ProfNoodlearms,JointMath
277,292,2,ProfNoodlearms,RG1gal
277,316,4,ProfNoodlearms,sbagley
277,344,1,ProfNoodlearms,thewordninja_bk
277,370,2,ProfNoodlearms,WanderingPoint
278,370,2,ptwiddle,WanderingPoint
279,10,1,pwr2dppl,achambertloir
279,20,2,pwr2dppl,AliciaPL25
279,21,9,pwr2dppl,amermathsoc
279,28,1,pwr2dppl,ArcheyDawn
279,29,2,pwr2dppl,ArisWinger
279,32,3,pwr2dppl,ash_wee_k
279,39,1,pwr2dppl,AWMmath
279,44,1,pwr2dppl,belladoesmath
279,46,2,pwr2dppl,benjamindickman
279,47,10,pwr2dppl,BikeMath
279,50,10,pwr2dppl,blkmathmagic
279,51,2,pwr2dppl,blviray
279,64,1,pwr2dppl,CengageLearning
279,70,7,pwr2dppl,ClaudioJacobo
279,79,2,pwr2dppl,darrenglass
279,86,6,pwr2dppl,diazlopezmath
279,100,1,pwr2dppl,dtkung
279,101,1,pwr2dppl,duanecoop
279,111,1,pwr2dppl,ErikaTCamacho
279,120,10,pwr2dppl,FedericoArdila
279,124,5,pwr2dppl,fra_berni
279,126,2,pwr2dppl,frontLahn
279,137,1,pwr2dppl,HaydeeLindo
279,140,1,pwr2dppl,HigherGeometer
279,168,5,pwr2dppl,JointMath
279,174,2,pwr2dppl,JSEllenberg
279,179,4,pwr2dppl,katebelin
279,184,3,pwr2dppl,kenandoesmath
279,186,1,pwr2dppl,KJMDPhD
279,191,1,pwr2dppl,KyJmd
279,196,34,pwr2dppl,LoboWithACause
279,201,4,pwr2dppl,maanow
279,208,6,pwr2dppl,MarissaKawehi
279,213,2,pwr2dppl,mathbabedotorg
279,220,4,pwr2dppl,mathillustrated
279,223,30,pwr2dppl,mathprofcarrie
279,227,11,pwr2dppl,mathyadriana
279,228,1,pwr2dppl,mathyawp
279,234,2,pwr2dppl,mayli
279,244,4,pwr2dppl,monsoon0
279,254,1,pwr2dppl,nancyekress
279,270,1,pwr2dppl,paaiiigeee
279,271,1,pwr2dppl,PamHarris1128
279,276,4,pwr2dppl,priyam886
279,279,13,pwr2dppl,pwr2dppl
279,282,2,pwr2dppl,qsideinstitute
279,287,4,pwr2dppl,RachelleDeCoste
279,292,3,pwr2dppl,RG1gal
279,306,2,pwr2dppl,ruha9
279,316,22,pwr2dppl,sbagley
279,317,2,pwr2dppl,Shelby_M_Scott
279,323,2,pwr2dppl,siwelwerd
279,326,2,pwr2dppl,SoledadVillar5
279,336,2,pwr2dppl,swirlgirl31415
279,344,4,pwr2dppl,thewordninja_bk
279,345,1,pwr2dppl,timchartier
279,366,10,pwr2dppl,VictorPiercey1
279,370,16,pwr2dppl,WanderingPoint
279,378,1,pwr2dppl,XenaProject
279,379,13,pwr2dppl,xl772
280,370,2,QCohBeef,WanderingPoint
281,370,2,QED_nerds,WanderingPoint
282,168,1,qsideinstitute,JointMath
283,279,2,QuantumP7,pwr2dppl
284,208,2,quaternion_j,MarissaKawehi
286,279,2,R2D2mah,pwr2dppl
287,196,2,RachelleDeCoste,LoboWithACause
287,223,1,RachelleDeCoste,mathprofcarrie
288,208,2,rdomagalski,MarissaKawehi
290,164,1,redneurons,jmm2021
290,223,2,redneurons,mathprofcarrie
291,232,2,ResearchWrigley,matthematician
292,179,1,RG1gal,katebelin
292,370,2,RG1gal,WanderingPoint
293,245,1,rhondajohughes,Morehouse
293,332,2,rhondajohughes,susan_dagostino
294,184,1,RicciFlat,kenandoesmath
294,279,1,RicciFlat,pwr2dppl
294,366,2,RicciFlat,VictorPiercey1
295,50,1,rich_homie_kuan,blkmathmagic
295,279,2,rich_homie_kuan,pwr2dppl
296,164,1,RissaChem,jmm2021
296,223,2,RissaChem,mathprofcarrie
297,235,2,rmathematicus,MBarany
298,100,2,RobEbymathdude,dtkung
301,292,2,robinelgenubi,RG1gal
302,244,2,roger_mansuy,monsoon0
303,21,1,RomanMathquez,amermathsoc
303,201,1,RomanMathquez,maanow
303,279,2,RomanMathquez,pwr2dppl
304,100,2,rsachsgmu,dtkung
305,370,2,RubenAMartinezA,WanderingPoint
307,70,2,ryanprior,ClaudioJacobo
308,97,2,RyneVanK,DrMRLD
309,20,2,sajinkoroth,AliciaPL25
309,120,1,sajinkoroth,FedericoArdila
309,233,2,sajinkoroth,matthewando
309,316,2,sajinkoroth,sbagley
309,370,2,sajinkoroth,WanderingPoint
310,87,1,Sam71244027,DingleTeach
310,327,2,Sam71244027,sophgermain
311,370,2,samit_dasgupta,WanderingPoint
313,29,1,sandi_clement,ArisWinger
313,50,2,sandi_clement,blkmathmagic
313,70,2,sandi_clement,ClaudioJacobo
313,201,1,sandi_clement,maanow
313,223,1,sandi_clement,mathprofcarrie
313,323,2,sandi_clement,siwelwerd
313,366,2,sandi_clement,VictorPiercey1
314,279,1,saracharala,pwr2dppl
315,208,2,sarah_bockting,MarissaKawehi
315,231,2,sarah_bockting,MattBoelkins
315,316,4,sarah_bockting,sbagley
315,344,1,sarah_bockting,thewordninja_bk
315,370,2,sarah_bockting,WanderingPoint
316,11,1,sbagley,AIMathematics
316,20,2,sbagley,AliciaPL25
316,21,4,sbagley,amermathsoc
316,29,1,sbagley,ArisWinger
316,93,4,sbagley,DrClaireJanelle
316,120,2,sbagley,FedericoArdila
316,126,2,sbagley,frontLahn
316,168,34,sbagley,JointMath
316,170,4,sbagley,joshlaison
316,184,2,sbagley,kenandoesmath
316,186,1,sbagley,KJMDPhD
316,191,1,sbagley,KyJmd
316,196,1,sbagley,LoboWithACause
316,201,1,sbagley,maanow
316,208,3,sbagley,MarissaKawehi
316,211,4,sbagley,maryepilgrim
316,223,10,sbagley,mathprofcarrie
316,232,2,sbagley,matthematician
316,235,2,sbagley,MBarany
316,254,3,sbagley,nancyekress
316,279,3,sbagley,pwr2dppl
316,299,1,sbagley,robertkessler
316,316,30,sbagley,sbagley
316,323,2,sbagley,siwelwerd
316,344,2,sbagley,thewordninja_bk
316,366,4,sbagley,VictorPiercey1
316,370,5,sbagley,WanderingPoint
317,29,1,Shelby_M_Scott,ArisWinger
317,49,2,Shelby_M_Scott,BioQUESTed
317,122,1,Shelby_M_Scott,FiveThirtyEight
317,164,1,Shelby_M_Scott,jmm2021
317,168,3,Shelby_M_Scott,JointMath
317,201,2,Shelby_M_Scott,maanow
317,223,4,Shelby_M_Scott,mathprofcarrie
317,232,2,Shelby_M_Scott,matthematician
317,259,1,Shelby_M_Scott,NEON_sci
317,265,1,Shelby_M_Scott,NSFINCLUDESHub
317,285,4,Shelby_M_Scott,qubeshub
317,317,24,Shelby_M_Scott,Shelby_M_Scott
317,366,2,Shelby_M_Scott,VictorPiercey1
318,223,2,SherlockpHolmes,mathprofcarrie
318,244,4,SherlockpHolmes,monsoon0
319,106,2,shivfesta,elizabethmunch
319,168,1,shivfesta,JointMath
320,164,1,Shugars,jmm2021
320,223,2,Shugars,mathprofcarrie
321,208,2,SineOutlook,MarissaKawehi
322,164,1,sister_stem,jmm2021
322,223,1,sister_stem,mathprofcarrie
323,97,2,siwelwerd,DrMRLD
323,316,4,siwelwerd,sbagley
323,371,1,siwelwerd,washcoll
324,292,2,SJMathematics,RG1gal
325,50,3,sleepymathgrl,blkmathmagic
325,223,2,sleepymathgrl,mathprofcarrie
326,86,1,SoledadVillar5,diazlopezmath
326,196,1,SoledadVillar5,LoboWithACause
326,223,1,SoledadVillar5,mathprofcarrie
326,227,2,SoledadVillar5,mathyadriana
326,279,1,SoledadVillar5,pwr2dppl
326,287,1,SoledadVillar5,RachelleDeCoste
326,292,2,SoledadVillar5,RG1gal
326,370,3,SoledadVillar5,WanderingPoint
326,379,1,SoledadVillar5,xl772
327,82,2,sophgermain,davidwees
327,87,2,sophgermain,DingleTeach
327,223,1,sophgermain,mathprofcarrie
327,310,1,sophgermain,Sam71244027
328,79,2,ssnewbery,darrenglass
329,370,2,suburbanlion,WanderingPoint
330,279,2,sunstoneUU,pwr2dppl
331,370,2,superyarn,WanderingPoint
332,39,1,susan_dagostino,AWMmath
332,46,2,susan_dagostino,benjamindickman
332,168,1,susan_dagostino,JointMath
332,245,1,susan_dagostino,Morehouse
333,323,2,susmcgowan,siwelwerd
334,50,3,SuzanneSindi,blkmathmagic
334,164,1,SuzanneSindi,jmm2021
334,223,2,SuzanneSindi,mathprofcarrie
334,279,3,SuzanneSindi,pwr2dppl
334,370,3,SuzanneSindi,WanderingPoint
334,376,1,SuzanneSindi,xanderfaber
335,201,1,SwipeWright,maanow
336,100,1,swirlgirl31415,dtkung
336,201,1,swirlgirl31415,maanow
337,292,2,teachnext_tmb,RG1gal
338,168,1,tealismaking,JointMath
338,316,2,tealismaking,sbagley
338,344,1,tealismaking,thewordninja_bk
339,97,2,teehee_sarah,DrMRLD
340,164,1,Thalesdisciple,jmm2021
340,223,2,Thalesdisciple,mathprofcarrie
341,370,2,thebasepoint,WanderingPoint
342,370,2,thecaligarmo,WanderingPoint
343,292,2,ThembaletuMbang,RG1gal
344,47,1,thewordninja_bk,BikeMath
344,100,2,thewordninja_bk,dtkung
344,168,1,thewordninja_bk,JointMath
344,196,1,thewordninja_bk,LoboWithACause
344,220,2,thewordninja_bk,mathillustrated
344,279,3,thewordninja_bk,pwr2dppl
344,292,2,thewordninja_bk,RG1gal
344,345,1,thewordninja_bk,timchartier
345,220,2,timchartier,mathillustrated
345,345,1,timchartier,timchartier
346,164,1,timhsuSF,jmm2021
346,196,2,timhsuSF,LoboWithACause
346,223,2,timhsuSF,mathprofcarrie
348,232,2,topologybee,matthematician
349,370,2,topolojack,WanderingPoint
350,21,1,trans_versality,amermathsoc
350,164,1,trans_versality,jmm2021
350,201,1,trans_versality,maanow
350,223,2,trans_versality,mathprofcarrie
350,279,2,trans_versality,pwr2dppl
351,292,2,Trianglemancsd,RG1gal
351,370,2,Trianglemancsd,WanderingPoint
352,44,1,twistor,belladoesmath
352,70,4,twistor,ClaudioJacobo
352,79,2,twistor,darrenglass
352,196,2,twistor,LoboWithACause
352,223,3,twistor,mathprofcarrie
352,245,1,twistor,Morehouse
352,316,2,twistor,sbagley
352,332,2,twistor,susan_dagostino
352,370,2,twistor,WanderingPoint
353,370,2,twonth,WanderingPoint
354,50,2,TyLKelly,blkmathmagic
354,126,2,TyLKelly,frontLahn
354,227,1,TyLKelly,mathyadriana
354,279,3,TyLKelly,pwr2dppl
354,370,2,TyLKelly,WanderingPoint
357,279,2,USpeaks,pwr2dppl
358,379,2,uvmmathstats,xl772
359,279,2,vacuou5ly_tru3,pwr2dppl
360,323,2,Vaguery,siwelwerd
361,167,2,valeriadepaiva,JohannaF_math
361,370,2,valeriadepaiva,WanderingPoint
363,50,1,vanessainstem,blkmathmagic
363,93,4,vanessainstem,DrClaireJanelle
363,279,4,vanessainstem,pwr2dppl
363,370,2,vanessainstem,WanderingPoint
364,223,2,vianey_lb,mathprofcarrie
365,164,1,victorerikray,jmm2021
365,223,2,victorerikray,mathprofcarrie
366,21,3,VictorPiercey1,amermathsoc
366,29,1,VictorPiercey1,ArisWinger
366,57,1,VictorPiercey1,callin_bull
366,97,2,VictorPiercey1,DrMRLD
366,168,3,VictorPiercey1,JointMath
366,184,3,VictorPiercey1,kenandoesmath
366,201,5,VictorPiercey1,maanow
366,213,3,VictorPiercey1,mathbabedotorg
366,223,16,VictorPiercey1,mathprofcarrie
366,227,1,VictorPiercey1,mathyadriana
366,279,6,VictorPiercey1,pwr2dppl
366,306,1,VictorPiercey1,ruha9
366,366,2,VictorPiercey1,VictorPiercey1
366,370,1,VictorPiercey1,WanderingPoint
367,196,1,vindas_melendez,LoboWithACause
367,227,2,vindas_melendez,mathyadriana
367,370,2,vindas_melendez,WanderingPoint
368,208,2,virtualcourtney,MarissaKawehi
368,344,1,virtualcourtney,thewordninja_bk
368,366,2,virtualcourtney,VictorPiercey1
369,50,1,VRiveraQPhD,blkmathmagic
369,124,1,VRiveraQPhD,fra_berni
369,186,1,VRiveraQPhD,KJMDPhD
369,191,1,VRiveraQPhD,KyJmd
369,208,4,VRiveraQPhD,MarissaKawehi
369,227,1,VRiveraQPhD,mathyadriana
369,244,1,VRiveraQPhD,monsoon0
369,279,3,VRiveraQPhD,pwr2dppl
369,344,1,VRiveraQPhD,thewordninja_bk
370,21,1,WanderingPoint,amermathsoc
370,50,4,WanderingPoint,blkmathmagic
370,70,4,WanderingPoint,ClaudioJacobo
370,120,4,WanderingPoint,FedericoArdila
370,124,4,WanderingPoint,fra_berni
370,184,2,WanderingPoint,kenandoesmath
370,196,4,WanderingPoint,LoboWithACause
370,201,1,WanderingPoint,maanow
370,208,2,WanderingPoint,MarissaKawehi
370,223,9,WanderingPoint,mathprofcarrie
370,227,1,WanderingPoint,mathyadriana
370,279,14,WanderingPoint,pwr2dppl
370,316,6,WanderingPoint,sbagley
370,323,2,WanderingPoint,siwelwerd
370,344,1,WanderingPoint,thewordninja_bk
370,366,2,WanderingPoint,VictorPiercey1
370,370,2,WanderingPoint,WanderingPoint
370,376,1,WanderingPoint,xanderfaber
370,379,5,WanderingPoint,xl772
372,145,1,weinburd,HZinnbrooks
372,214,2,weinburd,mathcourtney
373,10,1,wizard2048,achambertloir
373,32,1,wizard2048,ash_wee_k
373,46,2,wizard2048,benjamindickman
373,64,1,wizard2048,CengageLearning
373,86,2,wizard2048,diazlopezmath
373,97,2,wizard2048,DrMRLD
373,101,1,wizard2048,duanecoop
373,111,1,wizard2048,ErikaTCamacho
373,120,2,wizard2048,FedericoArdila
373,124,2,wizard2048,fra_berni
373,137,1,wizard2048,HaydeeLindo
373,140,1,wizard2048,HigherGeometer
373,168,1,wizard2048,JointMath
373,196,3,wizard2048,LoboWithACause
373,204,2,wizard2048,malagonmath
373,223,7,wizard2048,mathprofcarrie
373,227,4,wizard2048,mathyadriana
373,234,2,wizard2048,mayli
373,244,2,wizard2048,monsoon0
373,276,1,wizard2048,priyam886
373,279,11,wizard2048,pwr2dppl
373,316,4,wizard2048,sbagley
373,370,2,wizard2048,WanderingPoint
373,378,1,wizard2048,XenaProject
373,379,4,wizard2048,xl772
374,322,2,wokewahlberg,sister_stem
375,208,2,WolverKeith,MarissaKawehi
376,164,1,xanderfaber,jmm2021
376,223,2,xanderfaber,mathprofcarrie
377,44,1,XCatepillan,belladoesmath
377,86,2,XCatepillan,diazlopezmath
379,21,4,xl772,amermathsoc
379,32,1,xl772,ash_wee_k
379,50,5,xl772,blkmathmagic
379,70,5,xl772,ClaudioJacobo
379,86,1,xl772,diazlopezmath
379,100,1,xl772,dtkung
379,120,5,xl772,FedericoArdila
379,134,2,xl772,GoodsiePhD
379,168,1,xl772,JointMath
379,196,6,xl772,LoboWithACause
379,223,8,xl772,mathprofcarrie
379,227,1,xl772,mathyadriana
379,279,13,xl772,pwr2dppl
379,282,2,xl772,qsideinstitute
379,287,1,xl772,RachelleDeCoste
379,316,2,xl772,sbagley
379,326,1,xl772,SoledadVillar5
379,366,2,xl772,VictorPiercey1
379,370,10,xl772,WanderingPoint
379,379,6,xl772,xl772
380,100,2,York_CDM,dtkung
380,164,1,York_CDM,jmm2021
380,223,2,York_CDM,mathprofcarrie
383,97,2,Zoe_MM,DrMRLD
383,366,2,Zoe_MM,VictorPiercey1
