sender,receiver,edge_type
BikeMath,WanderingPoint,retweet
BikeMath,sbagley,retweet
BikeMath,matthematician,retweet
BikeMath,WanderingPoint,mention
BikeMath,sbagley,mention
BikeMath,matthematician,mention
BikeMath,pwr2dppl,mention
BikeMath,thewordninja_bk,mention
BikeMath,pwr2dppl,mention
BikeMath,thewordninja_bk,mention
BikeMath,pwr2dppl,mention
BikeMath,pwr2dppl,mention
BillOpenmind,BillOpenmind,retweet
BillOpenmind,BillOpenmind,mention
blkmathmagic,blkmathmagic,reply
blkmathmagic,blkmathmagic,reply
blkmathmagic,vanessaarceliaa,reply
blkmathmagic,MarissaKawehi,reply
blkmathmagic,MarissaKawehi,reply
blkmathmagic,blkmathmagic,reply
blkmathmagic,mathprofcarrie,retweet
blkmathmagic,sbagley,retweet
blkmathmagic,MarissaKawehi,retweet
blkmathmagic,WanderingPoint,retweet
blkmathmagic,pwr2dppl,retweet
blkmathmagic,pwr2dppl,quote-tweet
blkmathmagic,mathprofcarrie,mention
blkmathmagic,jmm2021,mention
blkmathmagic,sbagley,mention
blkmathmagic,MarissaKawehi,mention
blkmathmagic,WanderingPoint,mention
blkmathmagic,pwr2dppl,mention
blkmathmagic,blkmathmagic,mention
blkmathmagic,vanessaarceliaa,mention
blkmathmagic,vanessaarceliaa,mention
blkmathmagic,mathprofcarrie,mention
blkmathmagic,pwr2dppl,mention
blkmathmagic,MarissaKawehi,mention
blkmathmagic,pwr2dppl,mention
blkmathmagic,LoboWithACause,mention
blkmathmagic,xl772,mention
blkmathmagic,mathprofcarrie,mention
blkmathmagic,FedericoArdila,mention
blkmathmagic,priyam886,mention
blkmathmagic,MarissaKawehi,mention
blkmathmagic,priyam886,mention
blkmathmagic,pwr2dppl,mention
blkmathmagic,LoboWithACause,mention
blkmathmagic,xl772,mention
blkmathmagic,mathprofcarrie,mention
blkmathmagic,FedericoArdila,mention
blviray,priyam886,quote-tweet
blviray,pwr2dppl,mention
blviray,WanderingPoint,mention
blviray,FedericoArdila,mention
BmcChem,mathprofcarrie,retweet
BmcChem,mathprofcarrie,mention
BmcChem,jmm2021,mention
bmgilland,WanderingPoint,retweet
bmgilland,WanderingPoint,mention
BrandauerJ,DrMRLD,retweet
BrandauerJ,DrMRLD,mention
Cal_Q_L8,mathcourtney,retweet
Cal_Q_L8,mathcourtney,mention
Cal_Q_L8,HZinnbrooks,mention
CardColm,monsoon0,retweet
CardColm,monsoon0,mention
Category_Fury,WanderingPoint,retweet
Category_Fury,WanderingPoint,mention
Category_Fury,mathyadriana,mention
Cayleygrapher,vanessaarceliaa,reply
Cayleygrapher,vanessaarceliaa,mention
ccshan,WanderingPoint,retweet
ccshan,WanderingPoint,mention
CecileMichaut,Laelia_Ve,reply
CecileMichaut,Laelia_Ve,mention
CecileMichaut,arretsurimages,mention
CecileMichaut,realUNIVfrance,mention
CeritDr,WanderingPoint,retweet
CeritDr,WanderingPoint,mention
ChengSoonOng,WanderingPoint,retweet
ChengSoonOng,WanderingPoint,mention
ChengSoonOng,mathyadriana,mention
ChristianJaeh,WanderingPoint,retweet
ChristianJaeh,WanderingPoint,mention
cjp_still,matthewando,retweet
cjp_still,matthewando,mention
CKalinecCraig,blkmathmagic,quote-tweet
ClaudioJacobo,ClaudioJacobo,reply
ClaudioJacobo,mathprofcarrie,mention
ClaudioJacobo,uchicagogsu,mention
ComplexWales,BillOpenmind,retweet
ComplexWales,BillOpenmind,mention
CompStatsGeom,AliciaPL25,retweet
CompStatsGeom,AliciaPL25,mention
CompStatsGeom,FedericoArdila,mention
con_nect_ed,belladoesmath,retweet
cordesm,WanderingPoint,retweet
cordesm,WanderingPoint,mention
ctheobarker,RG1gal,retweet
ctheobarker,RG1gal,retweet
ctheobarker,WanderingPoint,retweet
ctheobarker,siwelwerd,retweet
ctheobarker,monsoon0,retweet
ctheobarker,RG1gal,mention
ctheobarker,RG1gal,mention
ctheobarker,WanderingPoint,mention
ctheobarker,siwelwerd,mention
ctheobarker,monsoon0,mention
dagan_karp,WanderingPoint,retweet
dagan_karp,WanderingPoint,mention
dana_neidinger,mathprofcarrie,retweet
dana_neidinger,mathprofcarrie,mention
daveinstpaul,WanderingPoint,retweet
daveinstpaul,WanderingPoint,mention
davewripley,WanderingPoint,retweet
davewripley,WanderingPoint,mention
davidwees,davidwees,reply
davidwees,DingleTeach,reply
davidwees,DingleTeach,mention
davidwees,mathprofcarrie,mention
davidwees,Sam71244027,mention
davidwees,sophgermain,mention
davidwees,DingleTeach,mention
davidwees,mathprofcarrie,mention
davidwees,Sam71244027,mention
davidwees,sophgermain,mention
davidwees,mathprofcarrie,mention
dbdoughe,WanderingPoint,retweet
dbdoughe,WanderingPoint,mention
declan_hoare,MarissaKawehi,retweet
declan_hoare,MarissaKawehi,mention
DeirdreM10,DrMRLD,retweet
DeirdreM10,DrMRLD,mention
diazlopezmath,diazlopezmath,reply
diazlopezmath,diazlopezmath,reply
diazlopezmath,WanderingPoint,retweet
diazlopezmath,WanderingPoint,retweet
diazlopezmath,VictorPiercey1,retweet
diazlopezmath,mathprofcarrie,mention
diazlopezmath,mathyadriana,mention
diazlopezmath,xl772,mention
diazlopezmath,pwr2dppl,mention
diazlopezmath,LoboWithACause,mention
diazlopezmath,WanderingPoint,mention
diazlopezmath,RachelleDeCoste,mention
diazlopezmath,WanderingPoint,mention
diazlopezmath,WanderingPoint,mention
diazlopezmath,VictorPiercey1,mention
diazlopezmath,kenandoesmath,mention
